,iso3,year,cckp_temp
256,AND,1977,1
257,AND,1978,1
258,AND,1979,1
259,AND,1980,1
260,AND,1981,1
261,AND,1982,1
262,AND,1983,1
263,AND,1984,1
264,AND,1985,1
265,AND,1986,1
266,AND,1987,1
267,AND,1988,1
268,AND,1989,1
269,AND,1990,1
270,AND,1991,1
271,AND,1992,1
272,AND,1993,1
273,AND,1994,1
274,AND,1995,1
275,AND,1996,1
276,AND,1997,1
277,AND,1998,1
278,AND,1999,1
279,AND,2000,1
280,AND,2001,1
281,AND,2002,1
282,AND,2003,1
283,AND,2004,1
284,AND,2005,1
285,AND,2006,1
286,AND,2007,1
287,AND,2008,1
288,AND,2009,1
289,AND,2010,1
290,AND,2011,1
291,AND,2012,1
292,AND,2013,1
293,AND,2014,1
294,AND,2015,1
295,AND,2016,1
296,AND,2017,1
297,AND,2018,1
298,AND,2019,1
299,AND,2020,1
300,ARE,1946,0
301,ARE,1947,0
302,ARE,1948,0
303,ARE,1949,0
304,ARE,1950,0
305,ARE,1951,0
306,ARE,1952,0
307,ARE,1953,0
308,ARE,1954,0
309,ARE,1955,0
310,ARE,1956,0
311,ARE,1957,0
312,ARE,1958,0
313,ARE,1959,0
314,ARE,1960,0
315,ARE,1961,0
316,ARE,1962,0
317,ARE,1963,0
318,ARE,1964,0
319,ARE,1965,0
320,ARE,1966,0
321,ARE,1967,0
322,ARE,1968,0
323,ARE,1969,0
324,ARE,1970,0
325,ARE,1971,0
326,ARE,1972,1
327,ARE,1973,1
328,ARE,1974,1
329,ARE,1975,1
330,ARE,1976,1
331,ARE,1977,1
332,ARE,1978,1
333,ARE,1979,1
334,ARE,1980,1
335,ARE,1981,1
336,ARE,1982,1
337,ARE,1983,1
338,ARE,1984,1
339,ARE,1985,1
340,ARE,1986,1
341,ARE,1987,1
342,ARE,1988,1
343,ARE,1989,1
344,ARE,1990,1
345,ARE,1991,1
346,ARE,1992,1
347,ARE,1993,1
348,ARE,1994,1
349,ARE,1995,1
350,ARE,1996,1
351,ARE,1997,1
352,ARE,1998,1
353,ARE,1999,1
354,ARE,2000,1
355,ARE,2001,1
356,ARE,2002,1
357,ARE,2003,1
358,ARE,2004,1
359,ARE,2005,1
360,ARE,2006,1
361,ARE,2007,1
362,ARE,2008,1
363,ARE,2009,1
364,ARE,2010,1
365,ARE,2011,1
366,ARE,2012,1
367,ARE,2013,1
368,ARE,2014,1
369,ARE,2015,1
370,ARE,2016,1
371,ARE,2017,1
372,ARE,2018,1
373,ARE,2019,1
374,ARE,2020,1
375,ARG,1946,1
376,ARG,1947,1
377,ARG,1948,1
378,ARG,1949,1
379,ARG,1950,1
380,ARG,1951,1
381,ARG,1952,1
382,ARG,1953,1
383,ARG,1954,1
384,ARG,1955,1
385,ARG,1956,1
386,ARG,1957,1
387,ARG,1958,1
388,ARG,1959,1
389,ARG,1960,1
390,ARG,1961,1
391,ARG,1962,1
392,ARG,1963,1
393,ARG,1964,1
394,ARG,1965,1
395,ARG,1966,1
396,ARG,1967,1
397,ARG,1968,1
398,ARG,1969,1
399,ARG,1970,1
400,ARG,1971,1
401,ARG,1972,1
402,ARG,1973,1
403,ARG,1974,1
404,ARG,1975,1
405,ARG,1976,1
406,ARG,1977,1
407,ARG,1978,1
408,ARG,1979,1
409,ARG,1980,1
410,ARG,1981,1
411,ARG,1982,1
412,ARG,1983,1
413,ARG,1984,1
414,ARG,1985,1
415,ARG,1986,1
416,ARG,1987,1
417,ARG,1988,1
418,ARG,1989,1
419,ARG,1990,1
420,ARG,1991,1
421,ARG,1992,1
422,ARG,1993,1
423,ARG,1994,1
424,ARG,1995,1
425,ARG,1996,1
426,ARG,1997,1
427,ARG,1998,1
428,ARG,1999,1
429,ARG,2000,1
430,ARG,2001,1
431,ARG,2002,1
432,ARG,2003,1
433,ARG,2004,1
434,ARG,2005,1
435,ARG,2006,1
436,ARG,2007,1
437,ARG,2008,1
438,ARG,2009,1
439,ARG,2010,1
440,ARG,2011,1
441,ARG,2012,1
442,ARG,2013,1
443,ARG,2014,1
444,ARG,2015,1
445,ARG,2016,1
446,ARG,2017,1
447,ARG,2018,1
448,ARG,2019,1
449,ARG,2020,1
450,ARM,1946,0
451,ARM,1947,0
452,ARM,1948,0
453,ARM,1949,0
454,ARM,1950,0
455,ARM,1951,0
456,ARM,1952,0
457,ARM,1953,0
458,ARM,1954,0
459,ARM,1955,0
460,ARM,1956,0
461,ARM,1957,0
462,ARM,1958,0
463,ARM,1959,0
464,ARM,1960,0
465,ARM,1961,0
466,ARM,1962,0
467,ARM,1963,0
468,ARM,1964,0
469,ARM,1965,0
470,ARM,1966,0
471,ARM,1967,0
472,ARM,1968,0
473,ARM,1969,0
474,ARM,1970,0
475,ARM,1971,0
476,ARM,1972,0
477,ARM,1973,0
478,ARM,1974,0
479,ARM,1975,0
480,ARM,1976,0
481,ARM,1977,0
482,ARM,1978,0
483,ARM,1979,0
484,ARM,1980,0
485,ARM,1981,0
486,ARM,1982,0
487,ARM,1983,0
488,ARM,1984,0
489,ARM,1985,0
490,ARM,1986,0
491,ARM,1987,0
492,ARM,1988,0
493,ARM,1989,0
494,ARM,1990,0
495,ARM,1991,0
496,ARM,1992,1
497,ARM,1993,1
498,ARM,1994,1
499,ARM,1995,1
500,ARM,1996,1
501,ARM,1997,1
502,ARM,1998,1
503,ARM,1999,1
504,ARM,2000,1
505,ARM,2001,1
506,ARM,2002,1
507,ARM,2003,1
508,ARM,2004,1
509,ARM,2005,1
510,ARM,2006,1
511,ARM,2007,1
512,ARM,2008,1
513,ARM,2009,1
514,ARM,2010,1
515,ARM,2011,1
516,ARM,2012,1
517,ARM,2013,1
518,ARM,2014,1
519,ARM,2015,1
520,ARM,2016,1
521,ARM,2017,1
522,ARM,2018,1
523,ARM,2019,1
524,ARM,2020,1
525,ATG,1946,1
526,ATG,1947,1
527,ATG,1948,1
528,ATG,1949,1
529,ATG,1950,1
530,ATG,1951,1
531,ATG,1952,1
532,ATG,1953,1
533,ATG,1954,1
534,ATG,1955,1
535,ATG,1956,1
536,ATG,1957,1
537,ATG,1958,1
538,ATG,1959,1
539,ATG,1960,1
540,ATG,1961,1
541,ATG,1962,1
542,ATG,1963,1
543,ATG,1964,1
544,ATG,1965,1
545,ATG,1966,1
546,ATG,1967,1
547,ATG,1968,1
548,ATG,1969,1
549,ATG,1970,1
550,ATG,1971,1
551,ATG,1972,1
552,ATG,1973,1
553,ATG,1974,1
554,ATG,1975,1
555,ATG,1976,1
556,ATG,1977,1
557,ATG,1978,1
558,ATG,1979,1
559,ATG,1980,1
560,ATG,1981,1
561,ATG,1982,1
562,ATG,1983,1
563,ATG,1984,1
564,ATG,1985,1
565,ATG,1986,1
566,ATG,1987,1
567,ATG,1988,1
568,ATG,1989,1
569,ATG,1990,1
570,ATG,1991,1
571,ATG,1992,1
572,ATG,1993,1
573,ATG,1994,1
574,ATG,1995,1
575,ATG,1996,1
576,ATG,1997,1
577,ATG,1998,1
578,ATG,1999,1
579,ATG,2000,1
580,ATG,2001,1
581,ATG,2002,1
582,ATG,2003,1
583,ATG,2004,1
584,ATG,2005,1
585,ATG,2006,1
586,ATG,2007,1
587,ATG,2008,1
588,ATG,2009,1
589,ATG,2010,1
590,ATG,2011,1
591,ATG,2012,1
592,ATG,2013,1
593,ATG,2014,1
594,ATG,2015,1
595,ATG,2016,1
596,ATG,2017,1
597,ATG,2018,1
598,ATG,2019,1
599,ATG,2020,1
600,AUS,1946,1
601,AUS,1947,1
602,AUS,1948,1
603,AUS,1949,1
604,AUS,1950,1
605,AUS,1951,1
606,AUS,1952,1
607,AUS,1953,1
608,AUS,1954,1
609,AUS,1955,1
610,AUS,1956,1
611,AUS,1957,1
612,AUS,1958,1
613,AUS,1959,1
614,AUS,1960,1
615,AUS,1961,1
616,AUS,1962,1
617,AUS,1963,1
618,AUS,1964,1
619,AUS,1965,1
620,AUS,1966,1
621,AUS,1967,1
622,AUS,1968,1
623,AUS,1969,1
624,AUS,1970,1
625,AUS,1971,1
626,AUS,1972,1
627,AUS,1973,1
628,AUS,1974,1
629,AUS,1975,1
630,AUS,1976,1
631,AUS,1977,1
632,AUS,1978,1
633,AUS,1979,1
634,AUS,1980,1
635,AUS,1981,1
636,AUS,1982,1
637,AUS,1983,1
638,AUS,1984,1
639,AUS,1985,1
640,AUS,1986,1
641,AUS,1987,1
642,AUS,1988,1
643,AUS,1989,1
644,AUS,1990,1
645,AUS,1991,1
646,AUS,1992,1
647,AUS,1993,1
648,AUS,1994,1
649,AUS,1995,1
650,AUS,1996,1
651,AUS,1997,1
652,AUS,1998,1
653,AUS,1999,1
654,AUS,2000,1
655,AUS,2001,1
656,AUS,2002,1
657,AUS,2003,1
658,AUS,2004,1
659,AUS,2005,1
660,AUS,2006,1
661,AUS,2007,1
662,AUS,2008,1
663,AUS,2009,1
664,AUS,2010,1
665,AUS,2011,1
666,AUS,2012,1
667,AUS,2013,1
668,AUS,2014,1
669,AUS,2015,1
670,AUS,2016,1
671,AUS,2017,1
672,AUS,2018,1
673,AUS,2019,1
674,AUS,2020,1
675,AUT,1946,0
676,AUT,1947,0
677,AUT,1948,0
678,AUT,1949,0
679,AUT,1950,0
680,AUT,1951,0
681,AUT,1952,0
682,AUT,1953,0
683,AUT,1954,0
684,AUT,1955,1
685,AUT,1956,1
686,AUT,1957,1
687,AUT,1958,1
688,AUT,1959,1
689,AUT,1960,1
690,AUT,1961,1
691,AUT,1962,1
692,AUT,1963,1
693,AUT,1964,1
694,AUT,1965,1
695,AUT,1966,1
696,AUT,1967,1
697,AUT,1968,1
698,AUT,1969,1
699,AUT,1970,1
700,AUT,1971,1
701,AUT,1972,1
702,AUT,1973,1
703,AUT,1974,1
704,AUT,1975,1
705,AUT,1976,1
706,AUT,1977,1
707,AUT,1978,1
708,AUT,1979,1
709,AUT,1980,1
710,AUT,1981,1
711,AUT,1982,1
712,AUT,1983,1
713,AUT,1984,1
714,AUT,1985,1
715,AUT,1986,1
716,AUT,1987,1
717,AUT,1988,1
718,AUT,1989,1
719,AUT,1990,1
720,AUT,1991,1
721,AUT,1992,1
722,AUT,1993,1
723,AUT,1994,1
724,AUT,1995,1
725,AUT,1996,1
726,AUT,1997,1
727,AUT,1998,1
728,AUT,1999,1
729,AUT,2000,1
730,AUT,2001,1
731,AUT,2002,1
732,AUT,2003,1
733,AUT,2004,1
734,AUT,2005,1
735,AUT,2006,1
736,AUT,2007,1
737,AUT,2008,1
738,AUT,2009,1
739,AUT,2010,1
740,AUT,2011,1
741,AUT,2012,1
742,AUT,2013,1
743,AUT,2014,1
744,AUT,2015,1
745,AUT,2016,1
746,AUT,2017,1
747,AUT,2018,1
748,AUT,2019,1
749,AUT,2020,1
750,AZE,1946,0
751,AZE,1947,0
752,AZE,1948,0
753,AZE,1949,0
754,AZE,1950,0
755,AZE,1951,0
756,AZE,1952,0
757,AZE,1953,0
758,AZE,1954,0
759,AZE,1955,0
760,AZE,1956,0
761,AZE,1957,0
762,AZE,1958,0
763,AZE,1959,0
764,AZE,1960,0
765,AZE,1961,0
766,AZE,1962,0
767,AZE,1963,0
768,AZE,1964,0
769,AZE,1965,0
770,AZE,1966,0
771,AZE,1967,0
772,AZE,1968,0
773,AZE,1969,0
774,AZE,1970,0
775,AZE,1971,0
776,AZE,1972,0
777,AZE,1973,0
778,AZE,1974,0
779,AZE,1975,0
780,AZE,1976,0
781,AZE,1977,0
782,AZE,1978,0
783,AZE,1979,0
784,AZE,1980,0
785,AZE,1981,0
786,AZE,1982,0
787,AZE,1983,0
788,AZE,1984,0
789,AZE,1985,0
790,AZE,1986,0
791,AZE,1987,0
792,AZE,1988,0
793,AZE,1989,0
794,AZE,1990,0
795,AZE,1991,0
796,AZE,1992,1
797,AZE,1993,1
798,AZE,1994,1
799,AZE,1995,1
800,AZE,1996,1
801,AZE,1997,1
802,AZE,1998,1
803,AZE,1999,1
804,AZE,2000,1
805,AZE,2001,1
806,AZE,2002,1
807,AZE,2003,1
808,AZE,2004,1
809,AZE,2005,1
810,AZE,2006,1
811,AZE,2007,1
812,AZE,2008,1
813,AZE,2009,1
814,AZE,2010,1
815,AZE,2011,1
816,AZE,2012,1
817,AZE,2013,1
818,AZE,2014,1
819,AZE,2015,1
820,AZE,2016,1
821,AZE,2017,1
822,AZE,2018,1
823,AZE,2019,1
824,AZE,2020,1
825,BDI,1946,0
826,BDI,1947,0
827,BDI,1948,0
828,BDI,1949,0
829,BDI,1950,0
830,BDI,1951,0
831,BDI,1952,0
832,BDI,1953,0
833,BDI,1954,0
834,BDI,1955,0
835,BDI,1956,0
836,BDI,1957,0
837,BDI,1958,0
838,BDI,1959,0
839,BDI,1960,0
840,BDI,1961,0
841,BDI,1962,0
842,BDI,1963,1
843,BDI,1964,1
844,BDI,1965,1
845,BDI,1966,1
846,BDI,1967,1
847,BDI,1968,1
848,BDI,1969,1
849,BDI,1970,1
850,BDI,1971,1
851,BDI,1972,1
852,BDI,1973,1
853,BDI,1974,1
854,BDI,1975,1
855,BDI,1976,1
856,BDI,1977,1
857,BDI,1978,1
858,BDI,1979,1
859,BDI,1980,1
860,BDI,1981,1
861,BDI,1982,1
862,BDI,1983,1
863,BDI,1984,1
864,BDI,1985,1
865,BDI,1986,1
866,BDI,1987,1
867,BDI,1988,1
868,BDI,1989,1
869,BDI,1990,1
870,BDI,1991,1
871,BDI,1992,1
872,BDI,1993,1
873,BDI,1994,1
874,BDI,1995,1
875,BDI,1996,1
876,BDI,1997,1
877,BDI,1998,1
878,BDI,1999,1
879,BDI,2000,1
880,BDI,2001,1
881,BDI,2002,1
882,BDI,2003,1
883,BDI,2004,1
884,BDI,2005,1
885,BDI,2006,1
886,BDI,2007,1
887,BDI,2008,1
888,BDI,2009,1
889,BDI,2010,1
890,BDI,2011,1
891,BDI,2012,1
892,BDI,2013,1
893,BDI,2014,1
894,BDI,2015,1
895,BDI,2016,1
896,BDI,2017,1
897,BDI,2018,1
898,BDI,2019,1
899,BDI,2020,1
900,BEL,1946,1
901,BEL,1947,1
902,BEL,1948,1
903,BEL,1949,1
904,BEL,1950,1
905,BEL,1951,1
906,BEL,1952,1
907,BEL,1953,1
908,BEL,1954,1
909,BEL,1955,1
910,BEL,1956,1
911,BEL,1957,1
912,BEL,1958,1
913,BEL,1959,1
914,BEL,1960,1
915,BEL,1961,1
916,BEL,1962,1
917,BEL,1963,1
918,BEL,1964,1
919,BEL,1965,1
920,BEL,1966,1
921,BEL,1967,1
922,BEL,1968,1
923,BEL,1969,1
924,BEL,1970,1
925,BEL,1971,1
926,BEL,1972,1
927,BEL,1973,1
928,BEL,1974,1
929,BEL,1975,1
930,BEL,1976,1
931,BEL,1977,1
932,BEL,1978,1
933,BEL,1979,1
934,BEL,1980,1
935,BEL,1981,1
936,BEL,1982,1
937,BEL,1983,1
938,BEL,1984,1
939,BEL,1985,1
940,BEL,1986,1
941,BEL,1987,1
942,BEL,1988,1
943,BEL,1989,1
944,BEL,1990,1
945,BEL,1991,1
946,BEL,1992,1
947,BEL,1993,1
948,BEL,1994,1
949,BEL,1995,1
950,BEL,1996,1
951,BEL,1997,1
952,BEL,1998,1
953,BEL,1999,1
954,BEL,2000,1
955,BEL,2001,1
956,BEL,2002,1
957,BEL,2003,1
958,BEL,2004,1
959,BEL,2005,1
960,BEL,2006,1
961,BEL,2007,1
962,BEL,2008,1
963,BEL,2009,1
964,BEL,2010,1
965,BEL,2011,1
966,BEL,2012,1
967,BEL,2013,1
968,BEL,2014,1
969,BEL,2015,1
970,BEL,2016,1
971,BEL,2017,1
972,BEL,2018,1
973,BEL,2019,1
974,BEL,2020,1
975,BEN,1946,0
976,BEN,1947,0
977,BEN,1948,0
978,BEN,1949,0
979,BEN,1950,0
980,BEN,1951,0
981,BEN,1952,0
982,BEN,1953,0
983,BEN,1954,0
984,BEN,1955,0
985,BEN,1956,0
986,BEN,1957,0
987,BEN,1958,0
988,BEN,1959,0
989,BEN,1960,0
990,BEN,1961,1
991,BEN,1962,1
992,BEN,1963,1
993,BEN,1964,1
994,BEN,1965,1
995,BEN,1966,1
996,BEN,1967,1
997,BEN,1968,1
998,BEN,1969,1
999,BEN,1970,1
1000,BEN,1971,1
1001,BEN,1972,1
1002,BEN,1973,1
1003,BEN,1974,1
1004,BEN,1975,1
1005,BEN,1976,1
1006,BEN,1977,1
1007,BEN,1978,1
1008,BEN,1979,1
1009,BEN,1980,1
1010,BEN,1981,1
1011,BEN,1982,1
1012,BEN,1983,1
1013,BEN,1984,1
1014,BEN,1985,1
1015,BEN,1986,1
1016,BEN,1987,1
1017,BEN,1988,1
1018,BEN,1989,1
